name,wrl1,category1,gender1,nation,age,weight,weight_mt,height,height_cur,cur_ref
Katarina KRISTO,#12,-63,W,Croatia,22,62.7,,165,163,https://olympics.com/en/paris-2024/athlete/katarina-kristo_1568874
Renata ZACHOVA,#17,-63,W,Czechia,24,62.5,,165,166,https://www.olympijskytym.cz/files/documents/1721055280_cov-tg-oh-paris-el-1.pdf
Youssry SAMY,#28,-60,M,Egypt,21,59.8,,165,168,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Sarah Leonie CYSIQUE,#5,-57,W,France,26,56.7,59.5,165,163,https://www.lequipe.fr/Judo/Fiche-guide/Athlete/Sarah-leonie-cysique/39
Marie Eve GAHIE,#7,-70,W,France,27,69.4,72.4,165,176,https://www.lequipe.fr/Judo/Fiche-guide/Athlete/Marie-eve-gahie/41
Eteri LIPARTELIANI,#7,-57,W,Georgia,24,57,59.8,165,,
Eter ASKILASHVILI,#49,-63,W,Georgia,20,62.9,65.7,165,,
Lasha SHAVDATUASHVILI,#8,-73,M,Georgia,32,72.7,,165,170,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Rio_Olympic_Games_Judo_Results-1639651592.pdf
Ilia SULAMANIDZE,#2,-100,M,Georgia,23,99.9,103.9,165,187,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Buenos_Aires_Youth_Olympic_Gam-1639650923.pdf
Lele NAIRNE,#28,-57,W,Great Britain,26,56.7,,165,153,https://b2022-pdf.microplustimingservices.com/JUD/2022-07-30/JUDW57KG--------------------------__C32C_1.0.pdf
Lucy RENSHALL,#11,-63,W,Great Britain,28,62.9,,165,,
Katie-Jemima YEATS-BROWN,#16,-70,W,Great Britain,29,69.9,,165,166,https://b2022-pdf.microplustimingservices.com/JUD/2022-07-30/JUDW70KG--------------------------__C32C_1.0.pdf
