name,wrl1,category1,gender1,nation,age,weight,weight_mt,height,height_cur,cur_ref
Baskhuu YONDONPERENLEI,#5,-66,M,Mongolia,30,65.9,69.4,173,175,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2017005-yondonperenlei-baskhuu.htm
Erdenebayar BATZAYA,#26,-73,M,Mongolia,24,72.6,74,173,177,https://www.ocagames.com/HZ_Info/AG2022-/zh/results/judo/athlete-profile-n2016965-batzaya-erdenebayar.htm
Adiyasuren AMARSAIKHAN,#23,78,W,Mongolia,24,99.9,,173,177,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2016570-amarsaikhan-adiyasuren.htm
Adrian GANDIA,#38,-81,M,Puerto Rico,26,80.5,,173,,
Nils STUMP,#3,-73,M,Switzerland,27,72.8,,173,,
Idalys ORTIZ,#19,78,W,Cuba,34,138.3,,174,180,https://judoinside.com/news/6760/Flagbearers_in_judo_Idalys_Ortiz_CUB
Alain APRAHAMIAN,#66,-81,M,Uruguay,36,80.5,,174,,
Wachid BORCHASHVILI,#19,-81,M,Austria,25,80.7,84.9,175,175,https://www.judoaustria.at/judoka/?judokaId=41411
Matthias CASSE,#1,-81,M,Belgium,27,80.4,,175,178,https://olympics.com/en/paris-2024/athlete/matthias-casse_1903244
Mayra AGUIAR,#12,-78,W,Brazil,32,77.1,,175,178,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Guilherme SCHIMIDT,#4,-81,M,Brazil,23,80.8,93.8,175,182,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Ana Laura PORTUONDO ISASI,#56,78,W,Canada,28,92.1,,175,171,https://olympic.ca/team-canada/ana-laura-portuondo-isasi/
Zouleiha Abzetta DABONNE,#43,-57,W,Côte d'Ivoire,31,56.3,,175,,
Arnold KISOKA,#66,-60,M,Dem. Rep. of the Congo,23,59.7,,175,,
Aden-Alexandre HOUSSEIN,#76,-73,M,Djibouti,26,72.9,,175,,
Shirine BOUKLI,#5,-48,W,France,25,48,51.9,175,156,https://www.lequipe.fr/Judo/Fiche-guide/Athlete/Shirine-boukli/37
Faye NJIE,#49,-73,M,Gambia,30,72.9,,175,,
Timo CAVELIUS,#21,-81,M,Germany,27,80.6,87.2,175,176,https://olympics.com/en/paris-2024/athlete/timo-cavelius_1563098
Emma REID,#14,-78,W,Great Britain,29,77.2,,175,177,https://b2022-pdf.microplustimingservices.com/JUD/2022-07-30/JUDW78KG--------------------------__C32C_1.0.pdf
Tohar BUTBUL,#22,-73,M,Israel,30,72.8,74.3,175,176,https://www.wikidata.org/wiki/Q29052464
Raz HERSHKO,#2,78,W,Israel,26,109.5,,175,,
Loriana KUKA,#29,-78,W,Kosovo,27,77,,175,177,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Guusje STEENHUIS,#8,-78,W,Netherlands,31,77.8,80.6,175,178,https://olympics.com/en/paris-2024/athlete/guusje-steenhuis_1966753
Frank DE WIT,#16,-81,M,Netherlands,28,80.7,87.5,175,184,https://olympics.com/en/paris-2024/athlete/frank-de-wit_1966756
Fares BADAWI,#342,-81,M,Palestine,27,80.3,,175,178,https://olympics.com/en/paris-2024/athlete/fares-badawi_1932622
Jing TANG,#22,-63,W,People's Rep. of China,29,62.7,,175,175,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2007754-tang-jing.htm
Adam STODOLSKI,#29,-73,M,Poland,24,72.4,,175,,
Beata PACUT-KLOCZKO,#17,-78,W,Poland,28,77.4,,175,,
Patricia SAMPAIO,#13,-78,W,Portugal,25,77.7,,175,176,https://comiteolimpicoportugal.pt/noticias/detalhe-da-noticia/?id=NEW-63294f89-79f3-4ccc-bbcd-9f9b9743186b
William TAI TIN,#187,-73,M,Samoa,39,72.6,,175,180,https://b2022-pdf.microplustimingservices.com/JUD/2022-07-30/JUDM73KG--------------------------__C32C_1.0.pdf
Milica ZABIC,#14,78,W,Serbia,30,97.4,,175,180,https://olympics.com/en/paris-2024/athlete/milica-zabic_1948085
Mariama KOROMA,#288,-57,W,Sierra Leone,,56.4,,175,,
Vedat ALBAYRAK,#11,-81,M,Turkiye,31,80.8,88,175,178,https://olympics.com/en/paris-2024/athlete/vedat-albayrak_1569984
Kayra OZDEMIR,#3,78,W,Turkiye,36,115,,175,178,https://olympics.com/en/paris-2024/athlete/kayra-ozdemir_1570034
Sardor NURILLAEV,#12,-66,M,Uzbekistan,29,65.7,70.3,175,176,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2012666-nurillaev-sardor.htm
Murodjon YULDOSHEV,#7,-73,M,Uzbekistan,28,72.8,76.4,175,175,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2012650-yuldoshev-murodjon.htm
Simon ZULU,#50,-60,M,Zambia,22,59.8,,175,170,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Buenos_Aires_Youth_Olympic_Gam-1639650923.pdf
Larisa CERIC,#26,78,W,Bosnia and Herzegovina,33,99.7,,176,176,https://www.olympedia.org/athletes/129162
Igor WANDTKE,#25,-73,M,Germany,33,72.8,75.8,176,177,https://olympics.com/en/paris-2024/athlete/igor-wandtke_1563093
Inbar LANIR,#3,-78,W,Israel,24,77.7,83.5,176,176,https://he.wikipedia.org/w/index.php?title=%D7%A2%D7%A0%D7%91%D7%A8_%D7%9C%D7%A0%D7%99%D7%A8&oldid=37045034
Jorge FONSECA,#9,-100,M,Portugal,31,99.8,,176,174,https://comiteolimpicoportugal.pt/noticias/detalhe-da-noticia/?id=NEW-8f1293b9-9b4d-4f69-ac1c-0989cbae746a
Joonhwan LEE,#3,-81,M,Republic of Korea,22,80.6,83,176,176,https://www.ocagames.com/HZ_Info/AG2022-/zh/results/judo/athlete-profile-n2014361-lee-joonhwan.htm
Nurali EMOMALI,#7,-66,M,Tajikistan,22,65.7,,176,,
Khrystyna HOMAN,#44,78,W,Ukraine,25,120.8,,176,,
Richelle Anita SOPPI MBELLA,#33,78,W,Cameroon,34,129,,177,,
Esmigul KUYULOVA,#37,-63,W,Kazakhstan,22,62.6,63.6,177,170,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2020202-kuyulova-esmigul.htm
Behruzi KHOJAZODA,#11,-73,M,Tajikistan,29,72.7,,177,176,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2019848-khojazoda-behruzi.htm
Mohammad Samim FAIZADA,#446,-81,M,Afghanistan,21,79.9,,178,,
Askerbii GERBEKOV,#25,-81,M,Bahrain,28,80.6,,178,178,http://www.bint21.cloud/HZ_Info/AG2022-/resAG2022-/pdf/AG2022-/JUD/AG2022-_JUD_C32C_JUDM81KG--------------------------.pdf
Valentin HOUINATO,#85,-81,M,Benin,27,80.7,,178,,
Aleksandra SAMARDZIC,#34,-70,W,Bosnia and Herzegovina,26,69.7,,178,180,https://olympics.com/en/paris-2024/athlete/aleksandra-samardzic_1941049
Mark HRISTOV,#27,-73,M,Bulgaria,24,72.9,,178,,
Arthur MARGELIDON,#9,-73,M,Canada,30,72.7,76.4,178,181,https://olympic.ca/team-canada/arthur-margelidon/
Tato GRIGALASHVILI,#2,-81,M,Georgia,24,80.7,88.9,178,180,https://www.adh.de/fileadmin/user_upload/pdf/wettkampf/ergebnisse-international/WUG_Universiade_Sommer/2019/Judo_Universiade_2019_Ergbenisse.pdf
Nurlykhan SHARKHAN,#23,-100,M,Kazakhstan,24,99.8,105.2,178,175,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2020198-sharkhan-nurlykhan.htm
Sydnee ANDREWS,#27,78,W,New Zealand,21,120.2,,178,,
Edi SHERIFOVSKI,#309,-81,M,North Macedonia,22,80.8,,178,181,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Tristani MOSAKHLISHVILI,#14,-90,M,Spain,26,89.1,89.5,178,182,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Beatriz SOUZA,#5,78,W,Brazil,26,135.2,,179,176,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Ismael ALHASSANE,#131,-66,M,Niger,30,65.6,,179,,
Sarra MZOUGUI,#28,78,W,Tunisia,30,109.6,,179,,
Yelyzaveta LYTVYNENKO,#10,-78,W,Ukraine,20,77.6,,179,,
Nugzari TATALASHVILI,#17,-81,M,United Arab Emirates,34,80.9,,179,176,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2005396-tatalashvili-nugzari.htm
Sharofiddin BOLTABOEV,#12,-81,M,Uzbekistan,28,81,88.3,179,,
Mohamed El Mehdi LILI,#40,100,M,Algeria,28,137.6,,180,,
Gabriella WILLEMS,#21,-70,W,Belgium,27,69.4,,180,181,https://olympics.com/en/paris-2024/athlete/gabriella-willems_1903248
Ivaylo IVANOV,#13,-90,M,Bulgaria,29,89.6,,180,180,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Rio_Olympic_Games_Judo_Results-1639651592.pdf
Carmel KONE,#82,-90,M,Burkina Faso,24,86.9,,180,,
Francois GAUTHIER DRAPEAU,#5,-81,M,Canada,26,80.6,87.2,180,182,https://olympics.com/en/paris-2024/athlete/francois-gauthier-drapeau_1955535
Miriam BUTKEREIT,#8,-70,W,Germany,30,69.7,70.7,180,179,https://olympics.com/en/paris-2024/athlete/miriam-butkereit_1563082
Theodoros TSELIDIS,#15,-90,M,Greece,27,89.3,,180,181,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Tulika MAAN,#36,78,W,India,25,119.4,,180,182,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2004042-maan-tulika.htm
Sagi MUKI,#18,-81,M,Israel,32,80.5,81.8,180,180,https://en.wikipedia.org/wiki/Sagi_Muki
Sanshiro MURAO,#3,-90,M,Japan,23,89.7,92.9,180,180,https://ja.wikipedia.org/wiki/%E6%9D%91%E5%B0%BE%E4%B8%89%E5%9B%9B%E9%83%8E
Aaron WOLF,#13,-100,M,Japan,28,99.9,111.5,180,181,https://en.wikipedia.org/wiki/Aaron_Wolf_(judoka)
Caramnob SAGAIPOV,#31,-90,M,Lebanon,27,89.8,,180,184,https://olympics.com/en/paris-2024/athlete/caramnob-sagaipov_1980485
Gonchigsuren BATKHUYAG,#10,-100,M,Mongolia,24,99.7,104.7,180,188,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2016797-batkhuyag-gonchigsuren.htm
Achraf MOUTII,#29,-81,M,Morocco,27,80.7,,180,180,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Alex CRET,#28,-90,M,Romania,22,89.4,,180,,
Komronshokh USTOPIRIYON,#20,-90,M,Tajikistan,31,90,,180,190,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2019849-ustopiriyon-komronshokh.htm
Dzhakhongir MADZHIDOV,#32,-100,M,Tajikistan,24,95.2,,180,,
Masayuki TERADA,#62,-73,M,Thailand,28,72.9,,180,183,https://www.adh.de/fileadmin/user_upload/pdf/wettkampf/ergebnisse-international/WUG_Universiade_Sommer/2019/Judo_Universiade_2019_Ergbenisse.pdf
Mihael ZGANK,#8,-90,M,Turkiye,30,89.6,94,180,182,https://olympics.com/en/paris-2024/athlete/mihael-zgank_1570001
Aram GRIGORIAN,#34,-90,M,United Arab Emirates,26,89.8,,180,170,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2007665-aram-grigorian.htm
Doston RUZIEV,#18,-60,M,Uzbekistan,28,59.8,65.3,180,172,https://res-taipei.fisu.net/resTP2017/pdf/TP2017/JU/TP2017_JU_C32C_JUM060000.pdf
Madeleine MALONGA,#6,-78,W,France,30,77.8,81.4,181,182,https://www.lequipe.fr/Judo/AussiFicheAthlete12500000000055430.html
Takanori NAGASE,#8,-81,M,Japan,30,80.7,84.4,181,181,https://ja.wikipedia.org/wiki/%E6%B0%B8%E7%80%AC%E8%B2%B4%E8%A6%8F
Remi FEUILLET,#49,-90,M,Mauritius,31,89.8,,181,181,https://b2022-pdf.microplustimingservices.com/JUD/2022-07-30/JUDM90KG--------------------------__C32C_1.0.pdf
Juyeop HAN,#24,-90,M,Republic of Korea,25,89.9,93.9,181,182,https://www.ocagames.com/HZ_Info/AG2022-/resAG2022-/pdf/AG2022-/JUD/AG2022-_JUD_C32C_JUDM90KG--------------------------.pdf
Minjong KIM,#1,100,M,Republic of Korea,23,133.8,,181,184,https://ko.wikipedia.org/wiki/%EA%B9%80%EB%AF%BC%EC%A2%85_(%EC%9C%A0%EB%8F%84_%EC%84%A0%EC%88%98)
Ivan Felipe SILVA MORALES,#10,-90,M,Cuba,28,89.6,,182,180,https://web.archive.org/web/20160816013513/https://www.rio2016.com/en/athlete/ivan-felipe-silva
David KLAMMERT,#22,-90,M,Czechia,30,89.7,,182,180,https://www.olympijskytym.cz/files/documents/1721055280_cov-tg-oh-paris-el-1.pdf
Anna-Maria WAGNER,#2,-78,W,Germany,28,77.6,79.2,182,183,https://olympics.com/en/paris-2024/athlete/anna-maria-wagner_1563081
Erlan SHEROV,#4,-90,M,Kyrgyzstan,26,89.5,,182,185,https://www.ocagames.com/HZ_Info/AG2022-/resAG2022-/pdf/AG2022-/JUD/AG2022-_JUD_C32C_JUDM90KG--------------------------.pdf
Strahinja BUNCIC,#30,-66,M,Serbia,28,65.8,72.1,182,180,https://olympics.com/en/paris-2024/athlete/strahinja-buncic_1948089
Nemanja MAJDOV,#2,-90,M,Serbia,27,89.6,91.5,182,178,https://olympics.com/en/paris-2024/athlete/nemanja-majdov_1948092
Marius FIZEL,#16,100,M,Slovakia,25,118.7,,182,,
Martti PUUMALAINEN,#10,100,M,Finland,27,131.8,,183,,
Sajjad SEHEN,#248,-81,M,Iraq,28,DQB,,183,185,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2011022-sehen-sajjad-ghanim-sehen.htm
Shiyan XU,#6,78,W,People's Rep. of China,27,133.3,,183,183,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2007750-xu-shiyan.htm
Zelim TCKAEV,#6,-81,M,Azerbaijan,25,80.8,,184,,
Klen Kristofer KALJULAID,#25,-90,M,Estonia,29,89.9,,184,,
Michael KORREL,#7,-100,M,Netherlands,30,99.4,104.8,184,184,https://olympics.com/en/paris-2024/athlete/michael-korrel_1966766
Ushangi KOKAURI,#17,100,M,Azerbaijan,32,142.8,,185,195,https://www.olympedia.org/athletes/132618
Rafael MACEDO,#11,-90,M,Brazil,29,89.6,94,185,180,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Leonardo GONCALVES,#12,-100,M,Brazil,28,99.7,107.3,185,190,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Attila UNGVARI,#20,-81,M,Hungary,35,80.7,84.8,185,184,https://sts.judo59.com/upload/files/pdf/_niversite%20kazan%202013.pdf
Zsombor VEG,#25,-100,M,Hungary,22,99.8,104.1,185,190,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Buenos_Aires_Youth_Olympic_Gam-1639650923.pdf
Peter PALTCHIK,#11,-100,M,Israel,32,99.6,106.4,185,190,https://en.wikipedia.org/wiki/Peter_Paltchik
Kamila BERLIKASH,#15,78,W,Kazakhstan,24,137.3,,185,160,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2020768-berlikash-kamila.htm
Marvin GADEAU,#112,100,M,Monaco,23,154,,185,187,https://olympics.com/en/paris-2024/athlete/marvin-gadeau_1552556
Anriquelis BARRIOS,#31,-63,W,Venezuela,30,61.7,,185,174,https://www.panamsports.org/downloads/pdf/lima-2019/JU_Results_Book_1.0.pdf
Thomas BRICENO,#46,-100,M,Chile,30,99.6,,186,186,http://158.170.64.113/sitiousach/tags/estudiantes?page=184
Zhenzhao MA,#5,-78,W,People's Rep. of China,26,77.9,,186,186,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2007739-ma-zhenzhao.htm
Hugo CUMBO,#258,-81,M,Vanuatu,28,80.8,,186,185,https://b2022-pdf.microplustimingservices.com/JUD/2022-07-30/JUDM81KG--------------------------__C32C_1.0.pdf
Andy GRANDA,#5,100,M,Cuba,32,120.1,,187,197,https://www.ecured.cu/Andy_Granda
Eduard TRIPPEL,#29,-90,M,Germany,27,89.7,94.2,187,187,https://olympics.com/en/paris-2024/athlete/eduard-trippel_1563097
Dzhafar KOSTOEV,#18,-100,M,United Arab Emirates,25,99.6,,187,187,https://www.infosport.ru/person/dzyudo/kostoev-djafar-beslanovich
Shady ELNAHAS,#3,-100,M,Canada,26,99.2,101.8,188,192,https://olympics.com/en/paris-2024/athlete/shady-elnahas_1955529
Toma NIKIFOROV,#22,-100,M,Belgium,31,99.5,,189,189,https://olympics.com/en/paris-2024/athlete/toma-nikiforov_1957037
Maxime-Gael NGAYAP HAMBOU,#38,-90,M,France,23,89.5,92.1,189,189,https://www.lequipe.fr/Judo/Fiche-guide/Athlete/Maxime-gael-ngayap-hambou/48
Tatsuru SAITO,#6,100,M,Japan,22,172,,189,191,https://ja.wikipedia.org/wiki/%E6%96%89%E8%97%A4%E7%AB%8B
Marcus NYMAN,#27,-90,M,Sweden,33,89.9,,189,189,https://olympics.com/en/paris-2024/athlete/marcus-nyman_1571909
Somon MAKHMADBEKOV,#7,-81,M,Tajikistan,25,80.8,,189,178,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2019842-makhmadbekov-somon.htm
John JAYNE,#32,-90,M,United States of America,27,89.8,,189,188,https://www.teamusa.com/profiles/john-jayne
Zelym KOTSOIEV,#1,-100,M,Azerbaijan,25,99.7,,190,192,https://az.wikipedia.org/?oldid=7275977
Zlatko KUMRIC,#24,-100,M,Croatia,30,99.5,,190,192,https://olympics.com/en/paris-2024/athlete/zlatko-kumric_1906380
Gerard TAKAYAWA,#125,100,M,Fiji,18,125.9,,190,,
Tsetsentsengel ODKHUU,#19,100,M,Mongolia,24,122.4,,190,196,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2016794-odkhuu-tsetsentsengel.htm
Mbagnick NDIAYE,#30,100,M,Senegal,30,149.7,,190,,
Enej MARINIC,#31,100,M,Slovenia,25,136.1,,190,190,https://olympics.com/en/paris-2024/athlete/enej-marinic_1980882
Nikoloz SHERAZADISHVILI,#8,-100,M,Spain,28,99.5,103.6,190,190,https://en.wikipedia.org/wiki/Nikoloz_Sherazadishvili
Alisher YUSUPOV,#9,100,M,Uzbekistan,25,125.6,,190,190,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2012643-yusupov-alisher.htm
Lasha BEKAURI,#1,-90,M,Georgia,23,89.8,93.2,192,190,https://www.adh.de/fileadmin/user_upload/pdf/wettkampf/ergebnisse-international/WUG_Universiade_Sommer/2019/Judo_Universiade_2019_Ergbenisse.pdf
Magomedomar MAGOMEDOMAROV,#15,100,M,United Arab Emirates,23,130.3,,192,178,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2005397-magomedomarov-magomedomar.htm
Aaron FARA,#21,-100,M,Austria,27,99.3,101.6,193,193,https://www.judoaustria.at/judoka/?judokaId=22682
Erik ABRAMOV,#18,100,M,Germany,25,118.4,,193,191,https://olympics.com/en/paris-2024/athlete/erik-abramov_1563099
Aleksandar KUKOLJ,#16,-100,M,Serbia,32,99.7,99.6,193,186,https://olympics.com/en/paris-2024/athlete/aleksandar-kukolj_1948091
Daniel EICH,#14,-100,M,Switzerland,24,99.9,,193,,
Piotr KUCZERA,#28,-100,M,Poland,29,98.5,,194,,
Bubacar MANE,#51,100,M,Guinea-Bissau,37,140.8,,195,,
Lukas KRPALEK,#11,100,M,Czechia,33,113.5,,197,198,https://www.olympijskytym.cz/files/documents/1721055280_cov-tg-oh-paris-el-1.pdf
Temur RAKHIMOV,#3,100,M,Tajikistan,27,122.5,,197,198,https://www.ocagames.com/HZ_Info/AG2022-/resAG2022-/pdf/AG2022-/JUD/AG2022-_JUD_C32C_JUDMO100KG------------------------.pdf
Muzaffarbek TUROBOYEV,#4,-100,M,Uzbekistan,24,99.8,104.1,200,202,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2012665-turoboyev-muzaffarbek.htm
Teddy RINER,#7,100,M,France,35,141.5,,204,204,https://www.lequipe.fr/Judo/Fiche-guide/Athlete/Teddy-riner/50
Rafael SILVA,#14,100,M,Brazil,37,172.8,,205,203,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
